id,Dept,Commune,Adresse,Date vente,Année construct.,Nb Pièces,Surface terrain(m²),Surface utile(m²),Prix(€),Prix/m²(€) Surface utile
598.0,44.0,NANTES, BD DE LA FRATERNITE,2021-01-01,1952,4,242,96.0,335000,"3489,58"
599.0,44.0,NANTES, AV GILBERT BAUDUZ,2021-01-01,1900,4,164,95.0,540000,"5684,21"
600.0,44.0,NANTES, RUE JEAN BOUIN,2021-01-01,1961,5,272,95.0,380000,"4000,00"
601.0,44.0,NANTES, RTE DE LA JONELIERE,2021-01-01,1900,3,93,95.0,322570,"3395,47"
602.0,44.0,NANTES, BD JULES VERNE,2021-01-01,2000,5, ,95.0,230100,"2422,11"
603.0,44.0,NANTES, BD DE LONGCHAMP,2021-01-01,1932,5,343,96.0,575000,"5989,58"
604.0,44.0,NANTES, RUE DE LA METHODE,2021-01-01,1925,4,174,95.0,550000,"5789,47"
605.0,44.0,NANTES, AV DE LA MUSTAUDIERE,2021-01-01,1972,4,512,95.0,320000,"3368,42"
606.0,44.0,NANTES, RUE DE LA PAPOTIERE,2021-01-01,1976,5,655,95.0,635000,"6684,21"
607.0,44.0,NANTES, B AV DU PETIT HERMITAGE,2021-01-01,1850,3,141,97.0,550000,"5670,10"
608.0,44.0,NANTES, RUE DE PLOERMEL,2021-01-01,1989,5,195,96.0,410000,"4270,83"
609.0,44.0,NANTES, BD DES POILUS,2021-01-01,1953,6,194,96.0,485000,"5052,08"
610.0,44.0,NANTES, RUE DES TULIPES,2021-01-01,1970,5,377,97.0,369400,"3808,25"
611.0,44.0,ORVAULT, RUE DE LA CLAIRE FONTAINE,2021-01-01,1969,5,445,97.0,371000,"3824,74"
612.0,44.0,REZE, RUE FELICIEN THOMAZEAU,2021-01-01,1900,4,357,95.0,320000,"3368,42"
613.0,44.0,REZE, RUE DE LA PAIX,2021-01-01,1929,4,360,97.0,395123,"4073,43"
614.0,44.0,REZE, RUE PIERRE LHERMITTE,2021-01-01,1900,4,74,96.0,418500,"4359,38"
615.0,44.0,ST-HERBLAIN, B AV DE L EGLANTINE,2021-01-01,1961,4,300,97.0,370000,"3814,43"
616.0,44.0,ST-HERBLAIN, RUE DE LA GAROTTERIE,2021-01-01,1972,4,387,95.0,288000,"3031,58"
617.0,44.0,ST-HERBLAIN, RUE MICHEL DELALANDE,2021-01-01,1972,4,398,95.0,278000,"2926,32"
618.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DES CORBIERES,2021-01-01,1974,5,435,95.0,350273,"3687,08"
619.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA CROIX SOURDEAU,2021-01-01,1976,5,1 118,95.0,300000,"3157,89"
620.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DES DEPORTES,2021-01-01,1957,4,491,96.0,300000,"3125,00"
621.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE QUERCY,2021-01-01,1978,5,3 363,96.0,324000,"3375,00"
622.0,44.0,ST SEBASTIEN SUR LOIRE, RUE THOMAS MAISONNEUVE,2021-01-01,1975,4,740,96.0,400000,"4166,67"
623.0,44.0,NANTES, RUE ALPHONSE KARR,2021-01-01,1930,5,133,100.0,648176,"6481,76"
624.0,44.0,NANTES, RUE BAPTISTE MARCET,2021-01-01,1930,5,320,98.0,270000,"2755,10"
625.0,44.0,NANTES, AV DES CLAVECINS,2021-01-01,1984,5,273,99.0,355000,"3585,86"
626.0,44.0,NANTES, AV EUGENE SUE,2021-01-01,1981,5,168,99.0,442280,"4467,47"
627.0,44.0,NANTES, AV DE LA FORET,2021-01-01,1935,5,603,100.0,410000,"4100,00"
628.0,44.0,NANTES, RUE JEAN BOUIN,2021-01-01,1935,6,389,98.0,390000,"3979,59"
629.0,44.0,NANTES, AV DU LOING,2021-01-01,1985,6,8 213,100.0,350000,"3500,00"
